"fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc","prepaid","default"
709,201703,"9",204702,"",12,1,"P",84,26,310000,84,3.625,"R","N","FRM","IA","SF","51300","F117Q1000376","N",360,2,"Other sellers","Other servicers","",0,1
649,201703,"9",203202,"33124",0,1,"P",52,22,190000,52,2.875,"R","N","FRM","FL","SF","33100","F117Q1000418","C",180,2,"Other sellers","Other servicers","",1,0
747,201703,"9",203702,"41180",0,1,"I",43,20,61000,43,4,"R","N","FRM","MO","SF","63100","F117Q1000479","N",240,2,"Other sellers","Other servicers","",1,0
711,201703,"9",204702,"20260",0,1,"I",80,21,90000,80,4.625,"R","N","FRM","MN","SF","55800","F117Q1000523","P",360,2,"Other sellers","Other servicers","",1,0
751,201703,"N",204702,"",35,1,"P",95,24,112000,95,4.25,"R","N","FRM","TX","PU","75900","F117Q1000719","P",360,1,"Other sellers","ARVESTCENTRALMTGECO","",1,0
808,201703,"9",203202,"",0,1,"P",49,33,184000,49,3.5,"R","N","FRM","MO","SF","65700","F117Q1001077","N",180,2,"Other sellers","Other servicers","",1,0
634,201703,"N",203202,"",0,1,"P",55,37,56000,55,3.375,"R","N","FRM","KY","SF","42100","F117Q1001140","P",180,1,"Other sellers","Other servicers","",1,0
714,201703,"9",204702,"19804",0,1,"I",80,22,224000,80,5.125,"R","N","FRM","MI","SF","48100","F117Q1001292","N",360,2,"Other sellers","Other servicers","",1,0
752,201703,"9",203202,"",0,1,"P",63,24,108000,63,3.75,"R","N","FRM","IA","SF","51300","F117Q1001382","C",180,2,"Other sellers","Other servicers","",1,0
673,201704,"Y",204703,"",30,1,"P",95,45,160000,95,4.125,"R","N","FRM","NY","MH","14800","F117Q1001443","P",360,2,"Other sellers","Other servicers","",0,1
807,201703,"N",204702,"",0,1,"P",80,49,309000,80,4.25,"C","N","FRM","UT","SF","84600","F117Q1001679","P",360,1,"Other sellers","ARVESTCENTRALMTGECO","",1,0
710,201703,"9",204702,"19660",0,1,"P",78,39,295000,78,4.625,"R","N","FRM","FL","SF","32700","F117Q1002085","C",360,2,"Other sellers","NATIONSTARMTGELLCDBA","",1,0
726,201703,"9",203202,"27100",0,1,"P",74,49,219000,74,3.75,"R","N","FRM","MI","CO","49200","F117Q1002216","C",180,1,"Other sellers","Other servicers","",1,0
787,201704,"9",204703,"15764",0,1,"P",80,43,337000,80,4.375,"R","N","FRM","MA","SF","01800","F117Q1002469","C",360,1,"Other sellers","Other servicers","",1,0
754,201703,"9",204702,"25860",0,1,"I",80,24,71000,80,5,"R","N","FRM","NC","SF","28600","F117Q1002754","P",360,2,"Other sellers","Other servicers","",1,0
779,201704,"N",203203,"",0,1,"P",80,22,25000,80,3.5,"R","N","FRM","TX","SF","76900","F117Q1002768","P",180,1,"Other sellers","PNCBANK,NATL","",1,0
799,201703,"N",204702,"46520",0,1,"P",80,38,552000,80,4.25,"R","N","FRM","HI","PU","96700","F117Q1002836","P",360,2,"Other sellers","Other servicers","",1,0
751,201704,"9",204703,"23060",0,1,"P",79,48,78000,79,4.5,"R","N","FRM","IN","SF","46700","F117Q1003458","C",360,1,"Other sellers","Other servicers","",1,0
712,201703,"9",203202,"30460",0,1,"P",69,26,315000,69,3.5,"R","N","FRM","KY","PU","40500","F117Q1003606","C",180,2,"Other sellers","PNCBANK,NATL","",1,0
790,201704,"9",203203,"",0,1,"P",75,42,155000,75,3.625,"R","N","FRM","IA","SF","50500","F117Q1003646","C",180,1,"Other sellers","Other servicers","",1,0
763,201703,"9",204702,"36260",25,1,"P",90,41,321000,90,4.375,"C","N","FRM","UT","SF","84400","F117Q1004147","N",360,1,"USBANKNA","USBANKNA","",1,0
792,201703,"9",203202,"36740",0,1,"P",55,22,311000,55,4.25,"R","N","FRM","FL","SF","32800","F117Q1004285","C",180,2,"Other sellers","Other servicers","",1,0
777,201704,"Y",204703,"46520",0,1,"P",80,41,164000,80,4.75,"R","N","FRM","HI","CO","96800","F117Q1004386","P",360,1,"Other sellers","Other servicers","",1,0
694,201703,"N",204702,"35100",30,1,"P",95,30,214000,95,4.5,"R","N","FRM","NC","SF","28500","F117Q1004557","P",360,1,"Other sellers","LAKEVIEWLOANSERVICIN","",1,0
768,201703,"9",204702,"38060",0,1,"S",75,37,82000,75,4.99,"R","N","FRM","AZ","CO","85200","F117Q1004615","P",360,2,"Other sellers","Other servicers","",1,0
659,201703,"N",204702,"28140",0,1,"P",60,41,122000,60,4.5,"C","N","FRM","KS","PU","66000","F117Q1004718","P",360,1,"BRANCHBANKING&TRUSTC","BRANCHBANKINGANDTRUS","",1,0
766,201703,"N",204702,"36420",0,1,"P",70,50,108000,70,4.25,"R","N","FRM","OK","PU","73000","F117Q1004893","P",360,1,"Other sellers","Other servicers","",1,0
771,201702,"N",204701,"45300",0,1,"P",75,27,136000,75,4.05,"R","N","FRM","FL","CO","33700","F117Q1004902","P",360,1,"Other sellers","Other servicers","",1,0
761,201703,"9",204702,"11244",0,1,"P",80,42,412000,80,4,"C","N","FRM","CA","SF","90600","F117Q1005092","N",360,1,"BRANCHBANKING&TRUSTC","Other servicers","",1,0
729,201703,"N",204702,"19740",30,1,"P",95,45,404000,95,4.5,"C","N","FRM","CO","SF","80200","F117Q1005208","P",360,1,"BRANCHBANKING&TRUSTC","Other servicers","",1,0
676,201702,"9",204701,"10900",0,1,"S",70,45,154000,70,3.75,"R","N","FRM","PA","SF","18000","F117Q1005255","C",360,1,"Other sellers","PINGORALOANSERVICING","",1,0
642,201703,"9",203202,"37900",0,1,"P",61,19,65000,61,3.125,"R","N","FRM","IL","SF","61600","F117Q1005373","N",180,2,"Other sellers","Other servicers","",1,0
782,201703,"9",204702,"40140",0,1,"P",80,45,320000,80,4.125,"R","N","FRM","CA","SF","92500","F117Q1005398","C",360,1,"Other sellers","Other servicers","",1,0
808,201703,"N",203202,"38900",0,1,"P",80,24,412000,80,3.125,"R","N","FRM","OR","PU","97000","F117Q1005488","P",180,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
787,201703,"9",203002,"12060",0,1,"P",76,49,187000,76,2.875,"R","N","FRM","GA","PU","30000","F117Q1005490","N",156,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
725,201702,"9",203201,"19380",0,1,"P",77,50,169000,77,3.375,"R","N","FRM","OH","SF","45400","F117Q1005552","N",180,2,"QUICKENLOANINC","QUICKENLOANINC","",1,0
751,201703,"9",203202,"19660",0,1,"P",44,29,117000,44,3.375,"R","N","FRM","FL","SF","32100","F117Q1005623","C",180,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
670,201703,"9",203202,"46140",0,1,"P",73,38,86000,73,3.99,"R","N","FRM","OK","SF","74100","F117Q1005649","C",180,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
742,201702,"N",204701,"36420",25,1,"P",90,27,161000,90,4.125,"R","N","FRM","OK","SF","73100","F117Q1005899","P",360,2,"Other sellers","Other servicers","",1,0
694,201703,"N",204702,"19124",30,1,"P",95,27,320000,95,4.25,"R","N","FRM","TX","SF","75200","F117Q1006000","P",360,1,"Other sellers","Other servicers","",1,0
788,201703,"9",204702,"41740",0,1,"S",80,20,580000,80,4.5,"R","N","FRM","CA","SF","91900","F117Q1006046","P",360,2,"Other sellers","LAKEVIEWLOANSERVICIN","Y",1,0
703,201703,"N",204702,"31084",0,1,"P",80,44,316000,80,4.625,"R","N","FRM","CA","CO","91300","F117Q1006130","P",360,2,"Other sellers","LAKEVIEWLOANSERVICIN","",1,0
